Title,Company,Job Link,Apply Link,Description,img_link
"Data Science Internship in Noida, Faridabad, Ghaziabad, Gurgaon, Delhi",MCUBE AI PRIVATE LIMITED,https://www.linkedin.com/jobs/view/4384513933/,https://www.linkedin.com/jobs/view/4384513933/,"About the job
This job is sourced from a job board. Learn More
work location - Gurgaon

Selected Intern's Day-to-day Responsibilities Include

 Work closely with our team of data scientists to analyze and interpret complex data sets.
 Research emerging trends in data science and AI to drive innovation.
 Assist in data cleaning, preprocessing, and visualization to extract actionable insights.
 Present findings and recommendations to senior management clearly and concisely.
 Develop and implement machine learning models to improve our AI algorithms.
 Utilize NLP techniques to enhance our natural language processing capabilities.
 Collaborate with cross-functional teams to integrate AI solutions into our products.

About Company: We are an AI native product development organization, where we design and ship fully AI-native products - from concept to production. Whether we are building an AI-powered app, internal platform, automation suite, or enterprise tool, we engineer systems that treat AI as the core engine, not an add-on.

Desired Skills and Experience
Deep Learning, Artificial intelligence, Python, SQL, Data Analytics, Machine Learning, Data Science, Natural Language Processing (NLP)",https://media.licdn.com/dms/image/v2/D560BAQEyDj86mzIOjA/company-logo_100_100/B56ZyJx4.fJUAU-/0/1771838083496?e=1776297600&v=beta&t=6bpDxSYgoD0n6ezP8Auy-55nOVNgmcT27btciSk0hI4
"Data Science Internship in Noida, Faridabad, Ghaziabad, Gurgaon, Delhi",MCUBE AI PRIVATE LIMITED,https://www.linkedin.com/jobs/view/4384513933,https://www.linkedin.com/jobs/view/4384513933,"About the job
This job is sourced from a job board. Learn More
work location - Gurgaon

Selected Intern's Day-to-day Responsibilities Include

 Work closely with our team of data scientists to analyze and interpret complex data sets.
 Research emerging trends in data science and AI to drive innovation.
 Assist in data cleaning, preprocessing, and visualization to extract actionable insights.
 Present findings and recommendations to senior management clearly and concisely.
 Develop and implement machine learning models to improve our AI algorithms.
 Utilize NLP techniques to enhance our natural language processing capabilities.
 Collaborate with cross-functional teams to integrate AI solutions into our products.

About Company: We are an AI native product development organization, where we design and ship fully AI-native products - from concept to production. Whether we are building an AI-powered app, internal platform, automation suite, or enterprise tool, we engineer systems that treat AI as the core engine, not an add-on.

Desired Skills and Experience
Deep Learning, Artificial intelligence, Python, SQL, Data Analytics, Machine Learning, Data Science, Natural Language Processing (NLP)",N/A
"Data Science Internship in Noida, Faridabad, Ghaziabad, Gurgaon, Delhi",MCUBE AI PRIVATE LIMITED,https://www.linkedin.com/jobs/view/4384533107,https://www.linkedin.com/jobs/view/4384533107,"About the job
This job is sourced from a job board. Learn More
work location - Gurgaon

Selected Intern's Day-to-day Responsibilities Include

 Work closely with our team of data scientists to analyze and interpret complex data sets.
 Research emerging trends in data science and AI to drive innovation.
 Assist in data cleaning, preprocessing, and visualization to extract actionable insights.
 Present findings and recommendations to senior management clearly and concisely.
 Develop and implement machine learning models to improve our AI algorithms.
 Utilize NLP techniques to enhance our natural language processing capabilities.
 Collaborate with cross-functional teams to integrate AI solutions into our products.

About Company: We are an AI native product development organization, where we design and ship fully AI-native products - from concept to production. Whether we are building an AI-powered app, internal platform, automation suite, or enterprise tool, we engineer systems that treat AI as the core engine, not an add-on.

Desired Skills and Experience
Deep Learning, Artificial intelligence, Python, SQL, Data Analytics, Machine Learning, Data Science, Natural Language Processing (NLP)",https://media.licdn.com/dms/image/v2/D560BAQEyDj86mzIOjA/company-logo_100_100/B56ZyJx4.fJUAU-/0/1771838083496?e=1776297600&v=beta&t=6bpDxSYgoD0n6ezP8Auy-55nOVNgmcT27btciSk0hI4
"Data Science Internship in Noida, Faridabad, Ghaziabad, Gurgaon, Delhi",MCUBE AI PRIVATE LIMITED,https://www.linkedin.com/jobs/view/4384533107,https://www.linkedin.com/jobs/view/4384533107,"About the job
This job is sourced from a job board. Learn More
work location - Gurgaon

Selected Intern's Day-to-day Responsibilities Include

 Work closely with our team of data scientists to analyze and interpret complex data sets.
 Research emerging trends in data science and AI to drive innovation.
 Assist in data cleaning, preprocessing, and visualization to extract actionable insights.
 Present findings and recommendations to senior management clearly and concisely.
 Develop and implement machine learning models to improve our AI algorithms.
 Utilize NLP techniques to enhance our natural language processing capabilities.
 Collaborate with cross-functional teams to integrate AI solutions into our products.

About Company: We are an AI native product development organization, where we design and ship fully AI-native products - from concept to production. Whether we are building an AI-powered app, internal platform, automation suite, or enterprise tool, we engineer systems that treat AI as the core engine, not an add-on.

Desired Skills and Experience
Deep Learning, Artificial intelligence, Python, SQL, Data Analytics, Machine Learning, Data Science, Natural Language Processing (NLP)",N/A
AI/ML + Automation Intern (Selenium / Playwright),RegisterKaro,https://www.linkedin.com/jobs/view/4390903702,https://www.linkedin.com/jobs/view/4390903702,"About the job
Job Title: AI/ML Intern
Location: Gurugram, Sector 32 (On-site)
Duration: 3–6 Months

We are looking for an AI/ML Intern who is eager to gain hands-on experience working on real-world AI applications, automation systems, and intelligent workflows. You will work closely with the engineering team to build and experiment with machine learning models, LLM workflows, and automation tools.

Key Responsibilities

• Assist in developing and testing AI/ML models for practical applications
• Work with Large Language Models (LLMs) to support GenAI workflows such as RAG pipelines, prompt engineering, and tool integrations
• Help build automation workflows integrating APIs, webhooks, and external tools
• Perform data preprocessing, dataset preparation, and analysis for ML models
• Support document and image processing tasks using computer vision techniques
• Write automation scripts using Playwright and Selenium
• Test, debug, and improve existing AI workflows and automation pipelines

Required Skills

• Strong knowledge of Python
• Understanding of Machine Learning fundamentals
• Familiarity with LLMs / Generative AI concepts
• Basic knowledge of APIs and automation workflows
• Strong analytical and problem-solving skills

Good to Have

• Exposure to Computer Vision or Deep Learning frameworks
• Familiarity with Selenium / Playwright or browser automation
• Basic understanding of RAG pipelines or prompt engineering
• Experience with Git, Docker, or cloud platforms

What We Value

• Strong ownership and problem-solving ability
• Curiosity and willingness to learn quickly
• Ability to build, experiment, and iterate in a fast-paced environment
• Comfort working with ambiguity and new challenges

⚠️ Important: Hands-on experience with Selenium or Playwright is mandatory for this role.",https://media.licdn.com/dms/image/v2/C560BAQHsm44wqpCS5A/company-logo_100_100/company-logo_100_100/0/1675522236091/registerkaro_logo?e=1776297600&v=beta&t=6DS-PRI4cfyb951QPojSbWrrYPIE8B7bkzT7oXn1Qx0
AI/ML + Automation Intern (Selenium / Playwright),RegisterKaro,https://www.linkedin.com/jobs/view/4390903702,https://www.linkedin.com/jobs/view/4390903702,"About the job
Job Title: AI/ML Intern
Location: Gurugram, Sector 32 (On-site)
Duration: 3–6 Months

We are looking for an AI/ML Intern who is eager to gain hands-on experience working on real-world AI applications, automation systems, and intelligent workflows. You will work closely with the engineering team to build and experiment with machine learning models, LLM workflows, and automation tools.

Key Responsibilities

• Assist in developing and testing AI/ML models for practical applications
• Work with Large Language Models (LLMs) to support GenAI workflows such as RAG pipelines, prompt engineering, and tool integrations
• Help build automation workflows integrating APIs, webhooks, and external tools
• Perform data preprocessing, dataset preparation, and analysis for ML models
• Support document and image processing tasks using computer vision techniques
• Write automation scripts using Playwright and Selenium
• Test, debug, and improve existing AI workflows and automation pipelines

Required Skills

• Strong knowledge of Python
• Understanding of Machine Learning fundamentals
• Familiarity with LLMs / Generative AI concepts
• Basic knowledge of APIs and automation workflows
• Strong analytical and problem-solving skills

Good to Have

• Exposure to Computer Vision or Deep Learning frameworks
• Familiarity with Selenium / Playwright or browser automation
• Basic understanding of RAG pipelines or prompt engineering
• Experience with Git, Docker, or cloud platforms

What We Value

• Strong ownership and problem-solving ability
• Curiosity and willingness to learn quickly
• Ability to build, experiment, and iterate in a fast-paced environment
• Comfort working with ambiguity and new challenges

⚠️ Important: Hands-on experience with Selenium or Playwright is mandatory for this role.",N/A
AI/ML + Automation Intern (Selenium / Playwright),RegisterKaro,https://www.linkedin.com/jobs/view/4390903702,https://www.linkedin.com/jobs/view/4390903702,"About the job
Job Title: AI/ML Intern
Location: Gurugram, Sector 32 (On-site)
Duration: 3–6 Months

We are looking for an AI/ML Intern who is eager to gain hands-on experience working on real-world AI applications, automation systems, and intelligent workflows. You will work closely with the engineering team to build and experiment with machine learning models, LLM workflows, and automation tools.

Key Responsibilities

• Assist in developing and testing AI/ML models for practical applications
• Work with Large Language Models (LLMs) to support GenAI workflows such as RAG pipelines, prompt engineering, and tool integrations
• Help build automation workflows integrating APIs, webhooks, and external tools
• Perform data preprocessing, dataset preparation, and analysis for ML models
• Support document and image processing tasks using computer vision techniques
• Write automation scripts using Playwright and Selenium
• Test, debug, and improve existing AI workflows and automation pipelines

Required Skills

• Strong knowledge of Python
• Understanding of Machine Learning fundamentals
• Familiarity with LLMs / Generative AI concepts
• Basic knowledge of APIs and automation workflows
• Strong analytical and problem-solving skills

Good to Have

• Exposure to Computer Vision or Deep Learning frameworks
• Familiarity with Selenium / Playwright or browser automation
• Basic understanding of RAG pipelines or prompt engineering
• Experience with Git, Docker, or cloud platforms

What We Value

• Strong ownership and problem-solving ability
• Curiosity and willingness to learn quickly
• Ability to build, experiment, and iterate in a fast-paced environment
• Comfort working with ambiguity and new challenges

⚠️ Important: Hands-on experience with Selenium or Playwright is mandatory for this role.",N/A
"AI Researcher, Speech & Audio, Intern | Josh Talks",Josh Talks,https://www.linkedin.com/jobs/view/4303750047,https://www.linkedin.com/jobs/view/4303750047,"About the job
This job is sourced from a job board. Learn More
form :https://forms.gle/ncGqEJrJDvEDhXtL7

AI Researcher, Speech & Audio, Intern -

Internship Opportunity at JoshTalks AI Lab

(ai.joshtalks.com)

Location: Gurgaon, India

Type: Full-time Internship (6–12 months)

Who: Final-year engineering students or recent graduates passionate about AI/ML

in speech

About Us

At JoshTalks AI Lab, we believe that voice will be the primary medium of interaction

between man and machine. Our mission is simple yet ambitious:

Help machines talk like humans.
Build the benchmarks and datasets that become the backbone of global

progress in speech AI.

Drive improvements not just through compute or algorithms — but through

high-quality, diverse, real-world data.

Our datasets today power some of the largest and most widely used speech

models in the world (you’ve definitely used them, even if we can’t name them

😉).

What You’ll Work On

This is not a “just another internship.” You’ll be directly contributing to the global

Race To Perfect Speech AI

 Benchmarking the world’s speech models

○ Design and run evaluations for ASR and speech-to-speech systems.

○ Create benchmarks that will guide top AI labs on where their models

fail and where they shine.

 Modeling & Fine-Tuning

○ Fine-tune speech recognition systems (like Whisper/wav2vec2) to push

Word Error Rates toward ~5%.

○ Experiment with multilingual, code-switched, and noisy speech

to mimic real-world conditions.

 Impact at Scale

○ Your work won’t just sit in a paper. It will influence how the

world’s largest AI models get built, tested, and improved.

Who We’re Looking For

Final-year undergraduates (B.Tech/B.E.) in CSE, EE, AI/ML, or related fields.
Strong interest in speech, audio, NLP, or multimodal AI.
Hands-on experience in one or more of:

○ Fine-tuning speech or language models (Whisper, wav2vec2,

HuBERT, SER, etc.)

○ Building speech-driven projects (assistants, classifiers, chatbots,

SER systems)

○ Working with PyTorch, TensorFlow, or Hugging Face transformers.

Bonus: past projects on GitHub, Kaggle, or research papers.

Why Join Us

Ownership: Even as a final-year student, you’ll get the chance to own

problems of global importance — from reducing ASR word error rates toward

5% to building benchmarks that influence how the next generation of

Speech-to-speech Models Are Developed. These Are Not Side Projects

the problems you’ll work on may define how billions of people interact

with machines in the future.

Front-row seat in speech AI: Your work will shape benchmarks and datasets

used by the world’s top model labs.

Learning: Work with experts solving speech challenges across 20+

Indian languages and noisy, real-world audio.

Impactful projects: The benchmarks and models you help build will

set direction for global AI progress.

Startup energy, global scale: Small team, big impact — perfect for ambitious

builders.

Co-Authorship: If any of the work you contribute to is published as a paper,

benchmark report, or dataset release, you will be credited as a co-author.

This means your contributions won’t just stay inside the lab — they’ll be

visible to the wider research community and part of the academic and

industry record.

Details

Location: Gurgaon (on-site preferred for collaboration)
Duration: 6–12 months
Type: Paid Internship (full-time)
Start Date: Flexible for final-year students (aligns with academic calendar)

If you’re someone who dreams of making speech AI as natural as human

conversation, this is your chance to work on the real frontier. Super interested?

Skills:- Machine Learning (ML)",https://media.licdn.com/dms/image/v2/C4D0BAQEhXz8cBVn4Vw/company-logo_100_100/company-logo_100_100/0/1672770926771/joshtalks_logo?e=1776297600&v=beta&t=4glboJZMLKY_sJS8edDbb-uZFG6cDzkc9lquXtMkABk
"AI Researcher, Speech & Audio, Intern | Josh Talks",Josh Talks,https://www.linkedin.com/jobs/view/4303750047,https://www.linkedin.com/jobs/view/4303750047,"About the job
This job is sourced from a job board. Learn More
form :https://forms.gle/ncGqEJrJDvEDhXtL7

AI Researcher, Speech & Audio, Intern -

Internship Opportunity at JoshTalks AI Lab

(ai.joshtalks.com)

Location: Gurgaon, India

Type: Full-time Internship (6–12 months)

Who: Final-year engineering students or recent graduates passionate about AI/ML

in speech

About Us

At JoshTalks AI Lab, we believe that voice will be the primary medium of interaction

between man and machine. Our mission is simple yet ambitious:

Help machines talk like humans.
Build the benchmarks and datasets that become the backbone of global

progress in speech AI.

Drive improvements not just through compute or algorithms — but through

high-quality, diverse, real-world data.

Our datasets today power some of the largest and most widely used speech

models in the world (you’ve definitely used them, even if we can’t name them

😉).

What You’ll Work On

This is not a “just another internship.” You’ll be directly contributing to the global

Race To Perfect Speech AI

 Benchmarking the world’s speech models

○ Design and run evaluations for ASR and speech-to-speech systems.

○ Create benchmarks that will guide top AI labs on where their models

fail and where they shine.

 Modeling & Fine-Tuning

○ Fine-tune speech recognition systems (like Whisper/wav2vec2) to push

Word Error Rates toward ~5%.

○ Experiment with multilingual, code-switched, and noisy speech

to mimic real-world conditions.

 Impact at Scale

○ Your work won’t just sit in a paper. It will influence how the

world’s largest AI models get built, tested, and improved.

Who We’re Looking For

Final-year undergraduates (B.Tech/B.E.) in CSE, EE, AI/ML, or related fields.
Strong interest in speech, audio, NLP, or multimodal AI.
Hands-on experience in one or more of:

○ Fine-tuning speech or language models (Whisper, wav2vec2,

HuBERT, SER, etc.)

○ Building speech-driven projects (assistants, classifiers, chatbots,

SER systems)

○ Working with PyTorch, TensorFlow, or Hugging Face transformers.

Bonus: past projects on GitHub, Kaggle, or research papers.

Why Join Us

Ownership: Even as a final-year student, you’ll get the chance to own

problems of global importance — from reducing ASR word error rates toward

5% to building benchmarks that influence how the next generation of

Speech-to-speech Models Are Developed. These Are Not Side Projects

the problems you’ll work on may define how billions of people interact

with machines in the future.

Front-row seat in speech AI: Your work will shape benchmarks and datasets

used by the world’s top model labs.

Learning: Work with experts solving speech challenges across 20+

Indian languages and noisy, real-world audio.

Impactful projects: The benchmarks and models you help build will

set direction for global AI progress.

Startup energy, global scale: Small team, big impact — perfect for ambitious

builders.

Co-Authorship: If any of the work you contribute to is published as a paper,

benchmark report, or dataset release, you will be credited as a co-author.

This means your contributions won’t just stay inside the lab — they’ll be

visible to the wider research community and part of the academic and

industry record.

Details

Location: Gurgaon (on-site preferred for collaboration)
Duration: 6–12 months
Type: Paid Internship (full-time)
Start Date: Flexible for final-year students (aligns with academic calendar)

If you’re someone who dreams of making speech AI as natural as human

conversation, this is your chance to work on the real frontier. Super interested?

Skills:- Machine Learning (ML)",N/A
Computer Vision Intern,Flick2Know,https://www.linkedin.com/jobs/view/4364626905,https://www.linkedin.com/jobs/view/4364626905,"About the job
We are looking for a Computer Vision Intern to assist in building and refining our image recognition pipeline. The role will start with dataset management—image collection, annotation validation, dataset cleaning, and preprocessing. Once the foundational data work is complete, you’ll get hands-on exposure to model training, augmentation, and evaluation, contributing directly to our production-ready pipeline.

Responsibilities

For one in the Seat:

Organize, clean, and preprocess large-scale retail image datasets.
Validate and manage annotations (bounding boxes, class labels, segmentation masks if applicable) using tools like Roboflow or CVAT or LabelImg.
Apply augmentation techniques and prepare datasets for training.
Support in training YOLOv5/YOLOv8-based models on custom datasets.
Run model evaluations (Precision, Recall, F1 Score, SKU-level accuracy).
Collaborate with the product team to improve real-world inference quality.
Document the dataset pipeline and share insights for improving data quality.

Must Have

Who we're looking for:

Basic understanding of Computer Vision concepts (Object Detection, Classification)
Familiarity with Python (OpenCV, Pandas, NumPy)
Knowledge of image annotation tools (Roboflow, LabelImg, CVAT, etc.)
Ability to manage and organise large datasets

Good To Have

Experience with YOLOv5 or YOLOv8 (Training, Inference, Fine-tuning)
Exposure to image augmentation techniques (Albumentations, etc.)
Understanding of retail/commercial shelf datasets or product detection problems
Previous internship or project experience in computer vision is a plus",https://media.licdn.com/dms/image/v2/C4E0BAQEgY_MrJX98Ww/company-logo_100_100/company-logo_100_100/0/1631348826733?e=1776297600&v=beta&t=TzrkyqRv7ENwPpFDCL1hxmDLYHgh8WOiDT92ZEVZ5iA
